Product,Total Quantity,Total Revenue
SILVER/MOP ORBIT NECKLACE,4.00,40.25
CLASSICAL ROSE TABLE LAMP,2.00,39.9
ROCOCO WALL MIROR,2.00,39.9
BLACK GEMSTONE NECKLACE 45CM,3.00,37.980000000000004
NURSE'S BAG SOFT TOY,4.00,35.8
TEATIME FUNKY FLOWER BACKPACK FOR 2,2.00,33.9
NEW BAROQUE LARGE NECKLACE BLK/WHIT,4.00,33.64
NEW BAROQUE SMALL NECKLACE BLACK,4.00,33.64
Dotcomgiftshop Gift Voucher Â£40.00,1.00,33.33
Dotcomgiftshop Gift Voucher Â£10.00,4.00,33.32
SAMPLES,1.00,33.05
GREEN METAL BOX TOP SECRET,4.00,33
DANISH ROSE UMBRELLA STAND,2.00,31.9
"FLOWER GLASS GARLAND NECKL.36""GREEN",4.00,31.8
"FLOWER GLASS GARLAND NECKL.36""BLUE",4.00,31.75
GOLD M PEARL  ORBIT NECKLACE,3.00,30.75
PINK ROSEBUD & PEARL NECKLACE,4.00,29.96
PINK MURANO TWIST NECKLACE,3.00,29.849999999999998
CRACKED GLAZE NECKLACE IVORY,4.00,27.92
BLACK DIAMOND CLUSTER NECKLACE,3.00,27.47
High Resolution Image,4.00,27
PURPLE GEMSTONE NECKLACE 45CM,2.00,25.5
DIAMANTE BOW BROOCH RED COLOUR,4.00,25.4
GLASS BEAD HOOP NECKLACE GREEN,3.00,25.32
5 STRAND GLASS NECKLACE BLACK,4.00,25.16
S/4 BLACK DISCO PARTITION PANEL,3.00,24.869999999999997
COPPER AND BRASS BAG CHARM,4.00,24.810000000000002
EASTER TREE YELLOW BIRDS,3.00,24.36
PURPLE GEMSTONE BRACELET,4.00,24.2
AMBER CHUNKY GLASS+BEAD NECKLACE,2.00,23.9
"FLOWER GLASS GARLAND NECKL.36""BLACK",3.00,23.85
GREEN HEART OF GLASS BRACELET,4.00,23.8
SILVER ROCOCO CANDLE STICK,4.00,23.8
TURQUOISE HEART OF GLASS BRACELET,4.00,23.8
VINTAGE GLASS COFFEE CADDY,4.00,23.8
AMBER FINE BEAD NECKLACE W TASSEL,4.00,23.54
BLACK FINE BEAD NECKLACE W TASSEL,4.00,23.54
PAPER LANTERN 5 POINT STUDDED STAR,4.00,23
DIAMANTE NECKLACE GREEN,3.00,22.5
DIAMANTE NECKLACE BLACK,3.00,22.48
CRACKED GLAZE NECKLACE RED,3.00,20.85
WHITE VINTAGE CRYSTAL BRACELET,3.00,20.25
VINTAGE WOODEN BAR STOOL,1.00,20
BLUE MURANO TWIST NECKLACE,2.00,19.91
SILVER/BLACK ORBIT NECKLACE,2.00,19.9
MONTANA DIAMOND CLUSTER NECKLACE,2.00,19.14
5 STRAND GLASS NECKLACE AMBER,3.00,18.810000000000002
AMBER CHUNKY BEAD BRACELET W STRAP,2.00,18.1
 TOADSTOOL BEDSIDE LIGHT,2.00,17.9
BLUE GLASS CHUNKY CHARM BRACELET,2.00,17.9
FIRE POLISHED GLASS NECKL GREEN,3.00,17.46
WHITE HEART OF GLASS BRACELET,3.00,17.46
SILVER/NAT SHELL NECKLACE W PENDANT,3.00,17.3
GLASS BEAD HOOP NECKLACE BLACK,2.00,17
MINT DINER CLOCK,2.00,17
PINK BUTTERFLY WASHBAG,4.00,17
SILVER/NATURAL SHELL NECKLACE,2.00,17
VINTAGE BEAD PINK JEWEL BOX,4.00,17
FUNKY FLOWER PICNIC BAG FOR 4,1.00,16.95
ZINC TOP  2 DOOR WOODEN SHELF,1.00,16.95
NEW BAROQUE B'FLY NECKLACE CRYSTAL,2.00,16.64
JARDIN ETCHED GLASS FRUITBOWL,4.00,15.8
JOY LARGE WOOD LETTERS,4.00,15.8
MOROCCAN BEATEN METAL MIRROR,4.00,15.8
CLASSIC DIAMANTE NECKLACE JET,2.00,15
DIAMANTE NECKLACE,2.00,15
RUBY GLASS CLUSTER NECKLACE,2.00,15
SILVER 2 STRAND NECKLACE-LEAF CHARM,2.00,15
BAROQUE BUTTERFLY EARRINGS CRYSTAL,4.00,14.96
GLASS AND PAINTED BEADS BRACELET OL,4.00,14.92
COTE D'AZURE NECKLACE,3.00,14.91
JADE CRYSTAL+GLASS BRACELET,3.00,14.91
GREEN WITH METAL BAG CHARM,3.00,14.850000000000001
IVORY PENDANT TRIPLE SHELL NECKLACE,3.00,14.850000000000001
MOP PENDANT SHELL NECKLACE,3.00,14.850000000000001
ROSE PENDANT TRIPLE SHELL NECKLACE,3.00,14.850000000000001
WHITE WITH METAL BAG CHARM,3.00,14.850000000000001
CRACKED GLAZE NECKLACE BROWN,2.00,14.14
"WALL ART , THE MAGIC FOREST",2.00,13.9
BLACK VINT ART DEC CRYSTAL BRACELET,2.00,13.5
BLUE TILED TRAY,2.00,13.5
CAKE STAND VICTORIAN FILIGREE MED,2.00,13.5
SILVER AND BLACK ORBIT NECKLACE,2.00,13.350000000000001
SET 10 CARDS CHRISTMAS TREE 16955,4.00,13.32
SET 10 CARDS MAGICAL TREE 17086,4.00,13.32
FLORAL BLUE MONSTER,3.00,12.75
NEW BAROQUE BLACK BOXES,1.00,12.75
BLUE WIRE SPIRAL CANDLE HOLDER,2.00,12.7
ANTIQUE RASPBERRY FLOWER EARRINGS,3.00,12.65
FILIGREE DIAMANTE CHAIN,1.00,12.48
WHITE VINTAGE CRYSTAL EARRINGS,3.00,12.450000000000001
BLACK GEMSTONE BRACELET,2.00,12.080000000000002
JET BLACK LAS VEGAS NECKLACE 45CM,2.00,11.9
ANT SILVER FUSCHIA BOUDICCA RING,4.00,11.8
AMETHYST HOOP EARRING FLORAL LEAF,4.00,11.7
SET 10 CARDS 12 DAYS OF XMAS 17059,4.00,11.64
SET 10 CARDS XMAS CHOIR 17068,4.00,11.64
BUTTONS AND STRIPES NOTEBOOK,3.00,11.25
CREAM AND PINK FLOWERS PONY,3.00,11.25
MIRROR LOVE BIRD T-LIGHT HOLDER,3.00,11.25
PURPLE LAS VEGAS BRACELET ROUND,3.00,11.25
PAIR BUTTERFLY HAIR CLIPS,3.00,11.21
CHUNKY CRACKED GLAZE NECKLACE IVORY,1.00,10.82
WHITE/PINK MINI CRYSTALS NECKLACE,2.00,10.8
CRACKED GLAZE EARRINGS RED,4.00,9.989999999999998
PURPLE AMETHYST NECKLACE W TASSEL,1.00,9.98
SET 10 CARD PERFECT NATIVITY 17089,4.00,9.96
SET 10 CARDS POINSETTIA 17093,4.00,9.96
GLASS BEAD HOOP EARRINGS AMETHYST,3.00,9.959999999999999
BROCANTE COAT RACK,1.00,9.95
RESIN BRACELET W PASTEL BEADS,2.00,9.9
PINK ROUND COMPACT MIRROR,3.00,9.870000000000001
YELLOW/PINK CERAMIC CANDLE HOLDER,3.00,9.870000000000001
ENCHANTED BIRD PLANT CAGE,3.00,8.850000000000001
SET 10 CARDS RUDOLPHS NOSE 17097,3.00,8.73
SET 10 CARDS WISHING TREE 17116,3.00,8.73
AMETHYST 3 BEAD DROP EARRINGS,3.00,8.7
GLASS BEAD HOOP NECKLACE AMETHYST,1.00,8.5
SET OF 12 MINI BUNNIES IN A BUCKET,4.00,8.4
NEW BAROQUE B'FLY NECKLACE GREEN,1.00,8.32
NEW BAROQUE B'FLY NECKLACE PINK,1.00,8.32
SET 10 CARDS CHRISTMAS HOLLY  17259,2.00,8.32
SILVER/BLACK PENDANT ORBIT NECKLACE,1.00,8.32
PAPER LANTERN 5 POINT STAR MOON 30,2.00,8.3
APRON MODERN VINTAGE COTTON,3.00,8.03
PINK FLOWERS RABBIT EASTER,3.00,7.8500000000000005
VINTAGE KITCHEN PRINT SEAFOOD,3.00,7.6499999999999995
BLUE CLIMBING HYDRANGA ART FLOWER,2.00,7.5
CREAM CLIMBING HYDRANGA ART FLOWER,2.00,7.5
ROSE FLOWER CANDLE+INCENSE 16X16CM,2.00,7.5
PINK SWEETIE NECKLACE,1.00,7.48
WHITE ROSEBUD & PEARL NECKLACE,1.00,7.48
SET 10 CARD SNOWMAN 16965,3.00,7.470000000000001
SET 10 CARDS FILIGREE BAUBLE 16961,3.00,7.470000000000001
SET 10 CARDS PRINTED GRAPHIC 17219,3.00,7.470000000000001
SET 10 CARDS WORLD CHILDREN 17067,3.00,7.470000000000001
FIRE POLISHED GLASS BRACELET BLACK,2.00,7.46
FIRE POLISHED GLASS BRACELET MONTAN,2.00,7.46
GLASS AND BEADS BRACELET IVORY,2.00,7.46
GREY FLORAL FELTCRAFT SHOULDER BAG,1.00,7.46
IVORY SHELL HEART EARRINGS,3.00,7.4399999999999995
PINK/AMETHYST/GOLD NECKLACE,1.00,7.07
