Product,Total Quantity,Total Quantity Returned,Return rate by product
HANGING RIDGE GLASS T-LIGHT HOLDER,36.00,36,100.00%
"PAPER CRAFT , LITTLE BIRDIE",80995.00,80995,100.00%
ROTATING SILVER ANGELS T-LIGHT HLDR,9476.00,9376,98.94%
MEDIUM CERAMIC TOP STORAGE JAR,78033.00,74494,95.46%
SET OF 3 BABUSHKA STACKING TINS,275.00,255,92.73%
PANTRY CHOPPING BOARD,1154.00,946,81.98%
IVORY CHANDELIER T-LIGHT HOLDER,658.00,432,65.65%
BEADED CHANDELIER T-LIGHT HOLDER,698.00,433,62.03%
BLACK DIAMANTE EXPANDABLE RING,26.00,16,61.54%
FLOWERS CHANDELIER T-LIGHT HOLDER,963.00,579,60.12%
Manual,7231.00,4066,56.23%
BLUE  VOILE LAMPSHADE,86.00,48,55.81%
TEA TIME PARTY BUNTING,2581.00,1424,55.17%
PINK FOXGLOVE ARTIIFCIAL FLOWER,23.00,12,52.17%
"FOLK ART GREETING CARD,pack/12",23.00,11,47.83%
BLUE ROSE PATCH PURSE PINK BUTTERFL,32.00,15,46.88%
HERB MARKER BASIL,3427.00,1527,44.56%
MIRROR MOSAIC T-LIGHT HOLDER,1622.00,720,44.39%
OFFICE MUG WARMER PINK,565.00,250,44.25%
OCEAN SCENT CANDLE IN JEWELLED BOX,1028.00,454,44.16%
MIRROR MOSAIC GOBLET CANDLE HOLDER,574.00,240,41.81%
WHITE TALL PORCELAIN T-LIGHT HOLDER,699.00,292,41.77%
