Segment Labels,CustomerID,Monetary Value
Champions,14646,280206.02
Champions,18102,259657.3
Champions,17450,194550.79
Champions,14911,143825.06
Champions,12415,124914.53
Champions,14156,117379.63
Champions,17511,91062.38
Champions,16029,81024.84
Champions,16684,66653.56
Champions,14096,65164.79
Champions,13694,65039.62
Champions,15311,60767.9
Champions,13089,58825.83
Champions,17949,58510.48
Champions,15769,56252.72
Champions,15061,54534.14
Champions,14298,51527.3
Champions,14088,50491.81
